run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1140,0.49548781514167783,89.23344449999786,,,0.9919811999970989,1.5385076637930666,,0.699999988079071,none,0.04605754837393761,0.04605754837393761,1.0,,0.648426178073883,0.5588,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1160,0.519499734044075,90.23291619999873,,,0.9994717000008677,1.5293714610169276,,0.7400000095367432,none,0.04244498535990715,0.04244498535990715,1.0,,0.6562914169311523,0.5627,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1180,0.5099164113402367,91.2201129999994,,,0.9871968000006746,1.5203352166666566,,0.7599999904632568,none,0.046216364949941635,0.046216364949941635,1.0,,0.6511547977447509,0.5623,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1200,0.5290939882397652,92.19195340000078,,,0.9718404000013834,1.5113434983606686,,0.7199999690055847,none,0.03930594027042389,0.03930594027042389,1.0,,0.6491668725967408,0.5627,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1220,0.4884003043174744,93.2573678000008,,,1.0654144000000088,1.5041510935484,,0.7400000095367432,none,0.03964643180370331,0.03964643180370331,1.0,,0.6586753869056702,0.5588,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1240,0.49595365673303604,94.32340119999935,,,1.0660333999985596,1.4971968444444341,,0.7799999713897705,none,0.040258653461933136,0.040258653461933136,1.0,,0.6600471660614013,0.5674,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1260,0.5033798158168793,95.38656540000011,,,1.063164200000756,1.4904150843750017,,0.7999999523162842,none,0.034675370901823044,0.034675370901823044,1.0,,0.6544918342590332,0.5613,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1280,0.5003471300005913,96.50796769999943,,,1.1214022999993176,1.4847379646153758,,0.7599999904632568,none,0.034748680889606476,0.034748680889606476,1.0,,0.6542320269584656,0.5681,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1300,0.5175955817103386,97.59958819999883,,,1.091620499999408,1.4787816393939217,,0.7400000095367432,none,0.03966643661260605,0.03966643661260605,1.0,,0.6681938224792481,0.5438,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1320,0.49077572822570803,98.71549819999927,,,1.11591000000044,1.4733656447761085,,0.6599999666213989,none,0.03468549996614456,0.03468549996614456,1.0,,0.6585470573425293,0.5661,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1340,0.4818112924695015,99.82282199999827,,,1.1073237999989942,1.4679826764705628,,0.7999999523162842,none,0.03752170503139496,0.03752170503139496,1.0,,0.65324241065979,0.5556,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1360,0.49518166929483415,100.96930860000066,,,1.1464866000023903,1.4633233130434877,,0.7999999523162842,none,0.03369486331939697,0.03369486331939697,1.0,,0.6543687247276306,0.5687,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1380,0.4755387842655182,102.13498949999848,,,1.1656808999978239,1.4590712785714068,,0.8399999737739563,none,0.04934648796916008,0.04934648796916008,1.0,,0.6601019989967346,0.5606,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1400,0.4918755918741226,103.18205459999808,,,1.0470650999995996,1.4532683746478603,,0.7999999523162842,none,0.0366344191133976,0.0366344191133976,1.0,,0.6612013220787049,0.5604,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1420,0.44744869470596316,104.30168159999812,,,1.1196270000000368,1.4486344666666406,,0.9199999570846558,none,0.03459165245294571,0.03459165245294571,1.0,,0.6533713331222534,0.5661,,42,baseline
